Date,Value, Palmer Drought Severity Index (PDSI) – Anomaly
201308,-3.32,-3.69
201309,-3.29,-3.51
201310,-3.33,-3.58
201311,-3.05,-3.36
201312,-2.71,-3.01
201401,-2.82,-2.93
201402,-2.78,-2.92
201403,-3.00,-3.20
201404,-3.45,-3.73
201405,-3.28,-3.56
201406,-2.89,-3.21
201407,-2.39,-2.82
201408,-2.85,-3.22
201409,1.11,0.89
201410,0.51,0.26
201411,0.71,0.40
201412,0.37,0.07
201501,0.96,0.85
201502,0.89,0.75
201503,0.69,0.49
201504,1.29,1.01
